GIS_experience_group,n_participants,mean_accuracy,median_accuracy,mean_accuracy_pct,median_accuracy_pct
Beginner,14,0.700487012987013,0.7272727272727273,70.0,72.7
Skilled,9,0.744949494949495,0.8181818181818182,74.5,81.8
